fid,Arbolado y Vegetación,Limpieza Viaria,Contaminación Sonora,Señaización       H y V,Sendas Peatonales,Obras en Construcción,Presencia de Obstáculos,Distancias Paradas TP,Actividad Comercial,Área Movilidad Motorizada,Ancho Vereda Útil,Estado de Vereda,Mobiliario Urbano,Pendientes,Movilidad Reducida,Estado Rampas,Guía no Videntes,IC,Tipo
186,1,4,1,3,2,4,4,4,4,2,4,4,3,1,2,1,1,"66,1764705882353",impar
187,1,2,1,1,2,4,4,4,0,2,1,3,2,2,2,1,1,"48,5294117647059",impar
197,1,4,1,4,2,4,1,4,4,2,4,3,3,1,2,1,1,"61,7647058823529",impar
198,3,1,1,1,2,4,1,4,0,2,4,1,2,1,2,1,1,"45,5882352941176",impar
201,1,1,1,1,2,4,4,4,0,2,4,3,2,1,2,1,1,50,impar
202,1,4,1,1,4,4,4,4,4,2,1,3,3,2,2,1,1,"61,7647058823529",impar
216,1,3,1,3,1,2,1,4,0,2,4,1,1,1,2,1,1,"42,6470588235294",impar
217,1,1,1,1,2,4,1,4,0,2,4,1,2,1,2,1,1,"42,6470588235294",impar
220,1,4,1,3,2,4,1,4,0,2,4,1,1,1,2,2,1,50,impar
221,1,3,1,4,4,4,4,4,0,2,4,3,3,1,3,1,1,"63,2352941176471",impar
225,2,4,1,3,2,4,4,4,4,2,4,1,3,1,2,1,1,"63,2352941176471",impar
230,2,2,1,1,2,4,4,4,4,2,4,1,3,1,2,1,1,"57,3529411764706",impar
231,1,3,1,1,4,4,4,4,4,2,4,3,3,1,2,2,1,"64,7058823529412",impar
232,1,4,4,1,2,2,1,4,4,2,4,3,1,1,2,1,1,"55,8823529411765",impar
233,1,1,1,3,4,4,4,4,4,2,4,3,1,1,2,1,1,"60,2941176470588",impar
234,1,4,1,1,2,4,4,4,4,2,4,3,3,3,2,1,1,"64,7058823529412",impar
236,1,4,1,3,4,4,4,4,0,2,1,4,3,1,3,4,4,"69,1176470588235",impar
240,1,2,1,1,2,4,4,4,4,2,1,1,2,1,2,1,1,50,impar
242,1,4,1,3,4,4,4,4,0,2,1,1,3,1,2,1,1,"54,4117647058823",impar
244,1,4,1,4,4,4,4,4,0,2,4,4,2,1,2,1,1,"63,2352941176471",impar
245,2,4,1,1,2,4,1,4,4,2,4,3,3,1,2,3,1,"61,7647058823529",impar
246,1,1,1,4,4,4,4,4,4,2,4,3,3,1,2,2,1,"66,1764705882353",impar
248,1,1,1,1,2,4,4,4,4,2,4,3,3,1,2,3,1,"60,2941176470588",impar
249,2,3,1,3,1,4,4,4,4,2,1,4,3,1,2,1,1,"60,2941176470588",impar
255,1,1,1,1,2,4,4,4,4,2,4,3,1,1,2,1,1,"54,4117647058823",impar
257,2,3,1,3,2,4,4,4,4,2,4,4,3,1,2,1,1,"66,1764705882353",impar
259,1,4,1,1,2,4,4,4,4,2,4,4,3,1,2,1,1,"63,2352941176471",impar
260,1,4,1,3,4,4,4,4,4,2,1,3,3,2,3,3,1,"69,1176470588235",impar
263,1,1,1,1,4,4,4,4,0,2,4,3,3,1,2,1,1,"54,4117647058823",impar
264,1,4,1,3,4,4,4,4,4,2,4,3,2,1,2,1,1,"66,1764705882353",impar
265,1,3,1,3,4,4,4,4,0,2,4,3,3,1,2,2,1,"61,7647058823529",impar
267,2,2,1,3,2,4,1,4,4,2,4,1,1,1,2,1,1,"52,9411764705882",impar
268,3,3,1,3,4,4,4,4,0,2,4,4,2,1,2,1,4,"67,6470588235294",impar
272,2,4,1,1,4,4,1,4,4,2,4,3,1,1,2,1,1,"58,8235294117647",impar
273,3,2,1,4,4,4,1,4,4,2,1,3,3,1,2,1,1,"60,2941176470588",impar
274,1,4,1,3,2,4,4,4,0,2,4,3,1,1,2,1,1,"55,8823529411765",impar
275,1,4,1,3,4,4,4,4,4,2,4,3,3,1,2,1,1,"67,6470588235294",impar
276,2,3,4,3,4,4,4,4,4,2,4,3,3,1,3,3,1,"76,4705882352941",impar
277,1,3,1,3,2,4,4,4,4,2,4,3,3,4,2,1,1,"67,6470588235294",impar
278,1,3,1,3,4,4,1,4,0,2,4,3,3,1,2,2,1,"57,3529411764706",impar
282,1,3,1,1,2,2,1,4,4,2,4,3,1,1,2,1,1,50,impar
283,1,3,1,3,4,3,1,4,0,2,4,1,1,2,2,1,1,50,impar
288,1,4,1,1,1,4,1,4,4,2,4,3,2,1,2,1,1,"54,4117647058823",impar
289,1,4,1,3,4,4,4,4,0,2,4,3,3,1,2,1,1,"61,7647058823529",impar
290,2,4,1,1,4,4,4,4,0,2,4,3,2,1,2,1,1,"58,8235294117647",impar
291,2,1,1,1,2,4,1,4,4,2,4,1,3,1,3,3,1,"55,8823529411765",impar
292,1,3,1,1,4,4,4,4,0,2,4,4,3,1,3,3,1,"63,2352941176471",impar
294,2,3,1,1,4,4,4,4,4,2,4,3,3,2,2,1,1,"66,1764705882353",impar
295,2,4,1,1,4,4,1,4,4,2,4,4,2,1,2,2,1,"63,2352941176471",impar
296,2,4,1,1,4,4,4,4,4,4,1,3,3,3,2,1,1,"67,6470588235294",impar
300,1,4,1,1,4,4,4,4,0,2,4,4,1,1,2,1,1,"57,3529411764706",impar
302,1,2,1,3,4,4,4,4,4,2,1,1,3,1,2,2,1,"58,8235294117647",impar
303,3,3,1,3,4,4,1,4,4,2,4,3,2,1,3,2,1,"66,1764705882353",impar
304,2,1,1,3,4,4,1,4,4,2,4,1,1,1,2,1,1,"54,4117647058823",impar
305,1,4,1,3,2,4,4,4,0,2,2,4,2,1,2,4,1,"60,2941176470588",impar
306,1,3,1,4,4,4,4,4,4,2,4,3,2,1,2,1,1,"66,1764705882353",impar
307,1,4,1,1,4,4,1,4,4,2,4,1,2,1,2,1,1,"55,8823529411765",impar
308,1,4,1,4,4,4,4,4,4,2,4,3,3,1,2,1,1,"69,1176470588235",impar
309,1,2,1,1,4,4,1,4,4,2,4,3,2,1,2,3,1,"58,8235294117647",impar
311,1,4,1,1,1,4,4,4,0,2,4,3,1,2,2,1,1,"52,9411764705882",impar
313,1,4,1,1,4,4,4,4,4,2,4,3,3,1,2,1,1,"64,7058823529412",impar
316,2,3,1,3,4,4,4,4,4,2,4,4,3,1,3,3,1,"73,5294117647059",impar
317,3,3,1,3,2,4,1,4,4,2,4,3,3,1,3,3,1,"66,1764705882353",impar
318,1,3,1,3,2,4,1,4,4,2,4,3,1,1,2,1,1,"55,8823529411765",impar
319,1,4,1,4,4,4,1,4,4,2,4,1,2,1,2,1,1,"60,2941176470588",impar
320,2,4,1,1,4,4,1,4,4,2,1,3,1,1,2,1,1,"54,4117647058823",impar
321,1,3,1,1,4,4,1,4,0,2,4,4,1,1,3,4,1,"57,3529411764706",impar
322,1,3,1,3,4,4,1,4,4,2,4,3,3,1,2,1,1,"61,7647058823529",impar
323,1,2,1,1,4,3,4,4,4,2,4,3,2,1,2,1,1,"58,8235294117647",impar
324,1,4,1,3,2,4,1,4,4,2,4,4,3,1,2,1,1,"61,7647058823529",impar
329,4,2,1,3,2,4,1,4,4,2,4,3,3,1,2,1,1,"61,7647058823529",impar
